jobName,salary,welfare,url,city_display,company,company_size,company_type,emplType,eduLevel,updateDate,workingExp
VC++软件工程师,6K-12K,"创业公司,五险一金,周末双休,带薪年假,弹性工作",https://jobs.zhaopin.com/CZ734790340J00244666103.htm,武汉,深圳市电联通科技有限公司,20-99人,合资,全职,本科,2019-05-17 15:58:04,不限
自动化控制设计师,6K-8K,"五险一金,试用期全额,定期体检,年底双薪,房补",https://jobs.zhaopin.com/CC466383532J00153938002.htm,杭州,传化智联股份有限公司,10000人以上,民营,全职,本科,2019-05-17 15:49:32,不限
软件开发工程师,3K-6K,"全勤奖,加班补助,节日福利,项目奖金,五险一金",https://jobs.zhaopin.com/CC308166713J00260182108.htm,合肥,合肥紫软计算机科技有限公司,20-99人,民营,全职,大专,2019-05-17 15:12:52,1-3年
高级前端web开发工程师,15K-25K,"五险一金,绩效奖金,包吃,餐补,带薪年假",https://jobs.zhaopin.com/422453413250090.htm,南京,南京森根科技发展有限公司,100-499人,民营,全职,本科,2019-05-17 15:00:00,5-10年
gis开发工程师,8K-11K,"五险一金,绩效奖金,交通补助,餐补,通讯补助",https://jobs.zhaopin.com/CC508483080J00116696605.htm,长沙,正元地理信息有限责任公司湖南分公司,500-999人,国企,全职,本科,2019-05-17 09:48:42,1-3年
技术助理4K起晋升空间,2.6K-4.1K,"五险一金,年底双薪,全勤奖,绩效奖金,餐补",https://jobs.zhaopin.com/CC395029580J00285617807.htm,广州,广州富创科达信息科技有限公司,100-499人,民营,全职,大专,2019-05-17 15:00:48,不限
POS机开发工程师（双休+五险）,6K-12K,"餐补,创业公司,周末双休,全勤奖,弹性工作",https://jobs.zhaopin.com/CZ311684080J00178440301.htm,福州,福州新联付网络科技有限公司,20-99人,不限,全职,大专,2019-05-17 15:21:31,1-3年
android开发工程师,5K-7K,"补充医疗保险,带薪年假,员工旅游,节日福利,五险一金",https://jobs.zhaopin.com/CC538931480J00273633705.htm,西安,陕西易匠信息科技有限公司,20-99人,民营,全职,本科,2019-05-17 09:21:38,3-5年
SAP ABAP开发工程师,10K-18K,"餐补,通讯补助,五险一金,绩效奖金,带薪年假",https://jobs.zhaopin.com/CC132644163J00096214413.htm,北京,中远海运科技(北京)有限公司,100-499人,国企,全职,本科,2019-05-17 16:15:32,3-5年
IT系统开发工程师,8K-10K,"五险一金,绩效奖金,包吃,包住,带薪年假",https://jobs.zhaopin.com/139573874250024.htm,天津,天津珍熙美容实业有限公司,500-999人,外商独资,全职,本科,2019-05-17 15:40:55,1-3年
JAVA EE高级软件开发工程师,8K-16K,"五险一金,带薪年假,节日福利,周末双休",https://jobs.zhaopin.com/CC266762682J00276894205.htm,南京,深圳市中科鼎创科技股份有限公司,100-499人,民营,全职,本科,2019-05-17 15:39:22,5-10年
Java开发工程师（长沙）,6K-12K,"五险一金,绩效奖金,加班补助,餐补,带薪年假",https://jobs.zhaopin.com/183703322250165.htm,长沙,北京华宏信达科技股份有限公司,20-99人,民营,全职,本科,2019-05-17 00:52:58,不限
中级Java开发工程师,8.5K-10K,"五险一金,年底双薪,绩效奖金,加班补助,餐补",https://jobs.zhaopin.com/CZ818339480J00340757705.htm,广州,广州麟克软件有限公司,100-499人,民营,全职,本科,2019-05-17 15:09:11,3-5年
java软件工程师,10K-15K,"五险一金,绩效奖金,交通补助,餐补,定期体检",https://jobs.zhaopin.com/CC120196196J00128887112.htm,北京,北京致远互联软件股份有限公司,1000-9999人,股份制企业,全职,本科,2019-05-17 15:31:33,3-5年
java工程师,4K-6K,"14薪,周末双休,住房补贴,五险一金,节日福利",https://jobs.zhaopin.com/CC810159860J00131285503.htm,长沙,湖南仪峰安安网络科技股份有限公司,20-99人,合资,全职,大专,2019-05-17 00:50:50,1-3年
高级java工程师,5K-10K,"创业公司,每年多次调薪,五险一金,弹性工作,交通补助",https://jobs.zhaopin.com/CZ414067280J00015586218.htm,郑州,河南云煤网网络科技有限责任公司,20-99人,股份制企业,全职,大专,2019-05-17 16:05:21,3-5年
java后台研发工程师,6K-12K,"五险一金,绩效奖金,加班补助,餐补,包住",https://jobs.zhaopin.com/CC431894085J00136680115.htm,青岛,青岛民航空管实业发展有限公司,100-499人,国企,全职,本科,2019-05-17 16:06:34,1-3年
程序员（java/c/c++/php/ios/安卓）实习生,4K-6K,"五险一金,绩效奖金,全勤奖,包住,带薪年假",https://jobs.zhaopin.com/484105437250663.htm,成都,四川格睿泰思信息科技有限公司,100-499人,股份制企业,全职,大专,2019-05-17 15:38:16,不限
java开发工程师,4K-8K,"五险一金,交通补助,餐补,定期体检,节日福利",https://jobs.zhaopin.com/CZ330855010J00142685410.htm,石家庄,北京启元和信科技有限公司,20-99人,民营,全职,大专,2019-05-17 16:01:58,1-3年
对日Java软件开发工程师,4K-8K,"五险一金,员工旅游,全勤奖,定期体检,周末双休",https://jobs.zhaopin.com/CC504646826J00299245103.htm,无锡,无锡飞威信息系统有限公司,20人以下,民营,全职,大专,2019-05-17 00:52:53,1-3年
普通JAVA程序员,6K-9K,"五险一金,年底双薪,绩效奖金,餐补,定期体检",https://jobs.zhaopin.com/CC173540419J00140151602.htm,广州,广州化工交易中心有限公司,20-99人,国企,全职,大专,2019-05-17 16:04:38,1-3年
JAVA中级工程师（含前端）,10K-15K,"五险一金,周末双休",https://jobs.zhaopin.com/CC615206622J00102790109.htm,西安,国广星空视频科技(北京)有限公司,20-99人,合资,全职,本科,2019-05-17 00:50:53,3-5年
java工程师,8K-10K,"创业公司,带薪年假,全勤奖,五险一金,包吃",https://jobs.zhaopin.com/CC317523988J00311869507.htm,海口,安徽烽火台卫星监控科技有限公司海南分公司,20-99人,民营,全职,本科,2019-05-17 00:52:33,3-5年
急聘Java开发人员,6K-8K,"五险一金,绩效奖金,带薪年假,通讯补助",https://jobs.zhaopin.com/CC320925316J00163663904.htm,济南,济南皓轩智诚电子科技有限公司,20-99人,股份制企业,全职,大专,2019-05-17 15:14:08,1-3年
java开发工程师,5K-10K,"五险一金,绩效奖金,餐补,公司重点项目,带薪年假",https://jobs.zhaopin.com/CC310653837J00251364508.htm,青岛,青岛中公联信息科技有限公司,20-99人,民营,全职,大专,2019-05-17 00:51:13,1-3年
